Vertices, Avg.Time Taken DP, Avg.Time Taken Greedy
3,0.0000,0.0000
4,0.0000,0.0200
5,0.0200,0.0000
6,0.0000,0.0000
7,0.0000,0.0000
8,0.0200,0.0000
9,0.0600,0.0000
10,0.2600,0.0000
11,0.3000,0.0200
12,0.4400,0.0200
13,0.9400,0.0000
14,0.7400,0.0200
15,1.2400,0.0000
16,1.3800,0.0000
17,0.9400,0.0000
18,0.9200,0.2000
19,1.7400,0.0000
20,1.2200,0.0200
21,2.9000,0.0000
22,1.6000,0.0000
23,2.5600,0.2000
24,3.6400,0.0000
25,2.8800,0.0000
26,4.1200,0.0000
27,3.6400,0.0000
28,5.8800,0.0000
29,5.2600,0.0000
30,5.1400,0.0000
31,5.6800,0.0000
32,7.0000,0.0000
33,7.0800,0.0000
34,7.8200,0.0200
35,7.3800,0.1200
36,9.4400,0.0000
37,10.4600,0.0000
38,10.7000,0.0000
39,10.1000,0.0200
40,11.8800,0.0200
41,12.6800,0.0000
42,14.8200,0.1400
43,14.8400,0.0000
44,16.3200,0.2000
45,16.7600,0.0200
46,18.2400,0.4200
47,19.6000,0.2200
48,20.4600,0.5200
49,21.7000,0.4200
50,19.8200,0.1000
